ID,COMMENT,CLASSE
1238,@Kylie Jenner,scrollTriggerFade section CELEBRITIES
1239,"Imagine having this much outrage at your corrupt, career politicians. Kylie didn't steal your money 😂",scrollTriggerFade section UNDEFINED
1240,When I say I hate the rich ppl say it’s bc I envy them. NEVER would I ever want to have so much wealth I become this out of touch w reality,scrollTriggerFade section RICH
1241,Actually fun fact. A plane has far less emissions than almost all other modes of transportation. Those are nothing compared of the impact of cows.,scrollTriggerFade section POLLUTION
1242,So you know how you drive to the corner store instead of riding a bike or walking? Now imagine if you were super rich😂I know I’d do the same,scrollTriggerFade section UNDEFINED
1243,Yeah literally nothing we do will save the planet. Just embrace it burning and have a good time while you can lmaoooo 😅,scrollTriggerFade section POLLUTION
1244,that's why I don't care about the plastic straws,scrollTriggerFade section EVERYDAY
1245,I just saw another video about everyone defending kylie saying that we’d do the same if we could. Like no we wont also WHY ARE PEOPLE DEFENDING THIS,scrollTriggerFade section UNDEFINED
1246,well they are voting for climate change but only for poor people skies,scrollTriggerFade section UNDEFINED
1247,"and then they probably drive away in a Tesla to be ""green."" (and I'm pro EV, btw)",scrollTriggerFade section UNDEFINED
1248,And her sister @Kourtney Kardashian Barker uses like 200% more water than Cali residents are supposed to use.I guess money trumps environment 🙄,scrollTriggerFade section UNDEFINED
1249,Yep and that is his self-righteous pricks telling people not to buy coke. Essentially blaming poor people for the consequence of these and big,scrollTriggerFade section RICH
1250,It would have been quicker for her to drive to Van Nuys.,scrollTriggerFade section CELEBRITIES
1251,"Rules for thee, none for me.",scrollTriggerFade section RICH
1252,"Enough with the disintegrating straws, it’s not on us",scrollTriggerFade section EVERYDAY
1253,California doesn’t care about the average person just the rich,scrollTriggerFade section UNDEFINED
1254,Rich people are the root of most if not all of our problems,scrollTriggerFade section RICH
1255,And if you think about it celebs borrow each other’s jets all the time so that may not even be them in the jet 🫠,scrollTriggerFade section CELEBRITIES
1256,This is the exact argument I keep making. You crying over my plastic straw while massive amounts of resources get abused by the rich every minute,scrollTriggerFade section UNDEFINED
1257,So this Jenner girl flies around on a plane so you’re not gonna recycle a can? This is the ultimate whataboutism.,scrollTriggerFade section UNDEFINED
1258,time is precious for the rich guys maybe,scrollTriggerFade section RICH
1259,@kyliejenner but us brokies should recycle!?,scrollTriggerFade section UNDEFINED
1260,"no emissions on jets, plus their jet fuel still contains lead, well is said to be ll fuel which is low lead but still 2 times the lead that our",scrollTriggerFade section UNDEFINED
1261,More money than sense,scrollTriggerFade section RICH
1262,It’s a 20 minute drive 😳,scrollTriggerFade section CELEBRITIES
1263,@GABBY you see… why are WE protecting the turtles???,scrollTriggerFade section POLLUTION
1264,can we please ignore celebs and make them not famous anymore. they need to be humbled.,scrollTriggerFade section CELEBRITIES
1265,"don't forget the leftists going to burning man, a giant bon fire in the middle of the summer in Nevada where they'll leave their garbage everywhere.",scrollTriggerFade section UNDEFINED
1266,Today on poor people hating rich people bc they’re rich bc the poor people are poor,scrollTriggerFade section RICH
1267,each flight gotta be 400 straws fuck that,scrollTriggerFade section UNDEFINED
1268,Capitalism is literally the least effective way of doing anything ever…,scrollTriggerFade section RICH
1269,the more you pollute the more you pay,scrollTriggerFade section RICH
1270,Laws are made for people that can’t afford to pay the price. No law will ever be written for rich people,scrollTriggerFade section RICH
1271,Electric chair,scrollTriggerFade section EVERYDAY
1272,"technically, Camarillo is Ventura, not LA. it's like an hour drive.",scrollTriggerFade section UNDEFINED
1273,Let’s not forget that microplastics and chems have dropped the Plankton population in the ocean to almost zero….,scrollTriggerFade section EVERYDAY
1274,If you eat animals you are just as bad,scrollTriggerFade section UNDEFINED
1275,Virtue signalling rich people are so much worse than rich people going about their business atleast,scrollTriggerFade section RICH
1276,then you look at cruise ships basically burning tons and tons of basically tar for fuel. 1 ship puts out the same as hundreds of thousands of cars,scrollTriggerFade section UNDEFINED
1277,A certain NFL team owner does the same thing because he doesn’t want to drive the 30 mins to the hanger so they fly to the airport closer to him lol,scrollTriggerFade section UNDEFINED
1278,Not the kardashians😂 shocking,scrollTriggerFade section CELEBRITIES
1279,lol me being from Camarillo. Caitlyn is always there and celebrities fly out of these Tibet airports all the time,scrollTriggerFade section UNDEFINED
1280,Eat the rich @francescanoto89,scrollTriggerFade section RICH
1281,And then they blame small things normal ass people do for climate change (which has an effect but not as big),scrollTriggerFade section UNDEFINED
1282,climate changers are liars,scrollTriggerFade section POLLUTION
1283,I remember Ryan Seacrest would fly from LA to NY to and back daily smh,scrollTriggerFade section ROUTINE
1284,@Kylie Jenner woops,scrollTriggerFade section CELEBRITIES
1285,LA traffic is bad 😂😂😂,scrollTriggerFade section EVERYDAY
1286,It’s the citizens that will get carbon taxed,scrollTriggerFade section UNDEFINED
1287,@kyliejenner,scrollTriggerFade section CELEBRITIES
1288,Everyone in the comments acting like money isn’t the ONLY thing stopping them from doing this too 💀,scrollTriggerFade section RICH
1289,Heathrow is filled with designer stores for the rich. But brags about providing recycled electricity.,scrollTriggerFade section RICH
1290,@Kylie Jenner,scrollTriggerFade section CELEBRITIES
1291,"Who really cares… it’s there money, do what you want.",scrollTriggerFade section RICH
1292,so Jetsons were just the super rich people?,scrollTriggerFade section RICH
1293,I’m not OK with this. Calling out 10 people to reply and let’s start this parade. Serious.,scrollTriggerFade section RICH
1294,I'm furious. the world is literally burning rn and the rich couldn't care less because it will NEVER affect them,scrollTriggerFade section UNDEFINED
1295,"it is crazy you still need to recycle though but the rich 10,000 times as guilty as we are. they should be held to account",scrollTriggerFade section UNDEFINED
1296,@kyliejenner bunker time for you and yours babe,scrollTriggerFade section CELEBRITIES
1297,Their use of water 😳,scrollTriggerFade section EVERYDAY
1298,And people still keep giving them there hard earned cash.,scrollTriggerFade section RICH
1299,imagine having that much money,scrollTriggerFade section RICH
1300,The only solution is to eat the rich,scrollTriggerFade section RICH
1301,@Kylie Cosmetics,scrollTriggerFade section UNDEFINED
1302,it seems like no one wants to drive anymore. just get off your ass and get in the car and drive.,scrollTriggerFade section UNDEFINED
1303,@Kylie Jenner,scrollTriggerFade section CELEBRITIES
1304,They probably also leave the water running when they brush their teeth,scrollTriggerFade section EVERYDAY
1305,Being rich has its perks..,scrollTriggerFade section RICH
1306,I hate it here! it's probably even worse than that. and we are paying almost 5.00 a gallon for gas. 😡,scrollTriggerFade section POLLUTION
1307,@Kylie Jenner smh,scrollTriggerFade section CELEBRITIES
1308,Hypocrites. All of them!,scrollTriggerFade section CELEBRITIES
1309,The rich are the reason for climate change,scrollTriggerFade section UNDEFINED
1310,“The turtles” 🤣🤣,scrollTriggerFade section POLLUTION
1311,Eat the rich,scrollTriggerFade section RICH
1312,Was probably traffic on land for Floyd.,scrollTriggerFade section EVERYDAY
1313,"Please, stop fronting. If you were a billionaire you would be too! I would be, every person would be.",scrollTriggerFade section RICH
1314,@kyliejenner you don't deserve any of it,scrollTriggerFade section CELEBRITIES
1315,Carbon tax the rich 🔥,scrollTriggerFade section UNDEFINED
1316,Meanwhile I scream at my friend for using plastic straws thinking it will make a difference 🤡,scrollTriggerFade section EVERYDAY
1317,"A 45 minute drive wouldn’t be so bad in your Bentley, Kylie.",scrollTriggerFade section CELEBRITIES
1318,20 mins in LA? idk anywhere thats only 20 mins. still unnecessary. maybe safer to fly because of poperazzi?,scrollTriggerFade section ROUTINE
1319,Could be two hours depending on traffic,scrollTriggerFade section EVERYDAY
1320,Business expense and this is why the rich pay low taxes 😂😂,scrollTriggerFade section RICH
1321,Boycott the Kardashians and Jenners would be step one but no one’s ready for that convo,scrollTriggerFade section UNDEFINED
1322,Somebody is probably flight training,scrollTriggerFade section ROUTINE
1323,Rich people are killing everything and everyone and I wish I was crazy for saying that.,scrollTriggerFade section RICH
1324,3 MINUTES they need to be highly taxed,scrollTriggerFade section CELEBRITIES
1325,And here I am feeling guilt for using the ac 24/7 during a heat wave,scrollTriggerFade section POLLUTION
1326,privet jets don't board like passenger planes. you basically show up to the hanger and get on line getting a taxi,scrollTriggerFade section ROUTINE
1327,Tax write offs buddy,scrollTriggerFade section RICH
1328,"they treat their jets like a Toyota corolla, going every damn where 😳 I'm with you, never speak to me about pollution again, we're not the problem 😅",scrollTriggerFade section POLLUTION
1329,If you pay for life+ you get fast travel,scrollTriggerFade section RICH
1330,Recycling straws and cans is more for the ocean and not the air. But this is still a dope post tho,scrollTriggerFade section EVERYDAY
1331,I thought after Kobe passed away celebrities would hesitate from flying at all costs… Guess not,scrollTriggerFade section UNDEFINED
1332,Heavy on the pAper straw,scrollTriggerFade section EVERYDAY
1333,Camarillo is just south of Ventura. Crazy to think someone would take a plane to LA from there. I could justify a helicopter to beat traffic.,scrollTriggerFade section UNDEFINED
1334,Prob do it for their taxes seems shady,scrollTriggerFade section RICH
1335,kourtney used insane amounts of water on her mansion yard the city literally had to tell her to chill,scrollTriggerFade section EVERYDAY
1336,"1. Camarillo is Ventura not LA. But also, 2. Fuck the Kardashian/Jenners.",scrollTriggerFade section CELEBRITIES
1337,and the fact that so many people worship and idolize her is SAD,scrollTriggerFade section RICH
1338,Rich people 🙄,scrollTriggerFade section RICH
1339,The price of gas should include it’s polluting effect and necessity. Biggest clean energy we need is transporting goods..electric 18 wheelers,scrollTriggerFade section UNDEFINED
1340,Worst part is that we can actually stop them. We just have to collectively decide that celebrities are like unnatural and evil.,scrollTriggerFade section CELEBRITIES
1341,"They’re giving people certain hours where they are allowed to use electricity in some countries, we’re next mark my words",scrollTriggerFade section UNDEFINED
1342,When I lived there that traffic was horrendous but if they aren’t driving and have a chauffeur idk why they need to fly…,scrollTriggerFade section UNDEFINED
1343,Then y’all come at ppl when they don’t want to use moldy reusable metal straws 😭,scrollTriggerFade section UNDEFINED
1344,How long of a drive would that 3 min flight be?,scrollTriggerFade section UNDEFINED
1345,It literally makes no sense because Calabasas is closer to Van Nuys than Camarillo.. she spent 25 mins just driving to Cam.,scrollTriggerFade section CELEBRITIES
1346,Have you ever been in la traffic tho,scrollTriggerFade section EVERYDAY
1347,We should all stop recycling and just throw our cans at the rich,scrollTriggerFade section UNDEFINED
1348,Reminds me of that dude from toy story 2 that complains about driving to work that's just across the street,scrollTriggerFade section CELEBRITIES
1349,Rich people and massive corporations are destroying our planet. They seriously need to to be taxed or something cuz this is ridiculous,scrollTriggerFade section UNDEFINED
1350,it's a tax write off,scrollTriggerFade section RICH
1351,"entitled...the Kardashian mafia, don't question them..",scrollTriggerFade section CELEBRITIES
1352,Then these people go out and tell everyone else to stop using straws,scrollTriggerFade section UNDEFINED
1353,"Hey man, y’all worried about celebrities 😂 look up how much the Moderna CEO made, from our tax dollars, and every other ACTUALLY rich person who …",scrollTriggerFade section UNDEFINED
1354,It’s actually from one county to the other. And the traffic would probably be two hours or longer. But still.,scrollTriggerFade section UNDEFINED
1355,"u have no life,leave ppl alone",scrollTriggerFade section RICH
1356,Hey @Kylie Jenner Any comment?,scrollTriggerFade section CELEBRITIES
1357,hex the rich,scrollTriggerFade section RICH
1358,Money isn’t real to them bro they do what they want,scrollTriggerFade section RICH
1359,Private airports are the real 🎯👀,scrollTriggerFade section ROUTINE
1360,@Kylie Jenner can I get a ride to work,scrollTriggerFade section CELEBRITIES
1361,I hated paper straws anyways.,scrollTriggerFade section EVERYDAY
1362,THE SAME CITY???? THEY'RE FLY TO LOCATIONS IN THE SAME FUCKING CITY😡😡😡,scrollTriggerFade section ROUTINE
1363,Yet disabled Ppl get so much ableism and hate bc we need straws and single use plastic 🫤,scrollTriggerFade section UNDEFINED
1364,"Camarillo is not LA. It’s in Ventura County. But she flew about 40 miles, lol.",scrollTriggerFade section CELEBRITIES
1365,A 20 min car ride!?!?,scrollTriggerFade section UNDEFINED
1366,Lulz. Tagged Kylie. Wonder how long until my comment is deleted.,scrollTriggerFade section CELEBRITIES
1367,@kyliejenner,scrollTriggerFade section CELEBRITIES
1368,I don’t understand why people support the kardashians… they contribute 0% to society,scrollTriggerFade section UNDEFINED
1369,"I mean, absolutely call them out for exploiting their status to make the world worse for all of us, but if everyone uses that as an excuse not (1/2)",scrollTriggerFade section POLLUTION
1370,people are literally starving and can barely make ends meet and we have people taking a private jet for their daily commute 🙄,scrollTriggerFade section RICH
1371,Camarillo ca wow,scrollTriggerFade section UNDEFINED
1372,"Baby, keep using the paper straws! 😂",scrollTriggerFade section EVERYDAY
1373,bruhh eat the rich n save the earth.. I literally walk further on a daily basis then they flying 😂,scrollTriggerFade section UNDEFINED
1374,Never let these idiot Hollywood elites lecture you how to live,scrollTriggerFade section CELEBRITIES
1375,"exactly, don't tell me to recycle anything until these billionaires/millionaires are held to the same standard.",scrollTriggerFade section UNDEFINED
1376,Find Leonardo DiCaprio’s flight records! 🫢,scrollTriggerFade section UNDEFINED
1377,Me in Camarillo 😳,scrollTriggerFade section CELEBRITIES
1378,@tmz wow Kylie is not saving emissions,scrollTriggerFade section UNDEFINED
1379,the turtles,scrollTriggerFade section POLLUTION
1380,Van Nuys isn’t even the other side of LA lol. It’s like a 30 min drive from Camarillo,scrollTriggerFade section CELEBRITIES
1381,"EVs, recycling, saving water and power, all make no difference compared to the heaps of pollution massive corporations and wealthy people produce",scrollTriggerFade section UNDEFINED
1382,They should limit or not allow flights if it’s less than an hour. They’re killing our planet but I shouldn’t use a straw or use plastic bottles,scrollTriggerFade section UNDEFINED
1383,I swear i hate these people. THEE MINUTES,scrollTriggerFade section UNDEFINED
1384,we been screwin the turtles over my guy,scrollTriggerFade section POLLUTION
1385,Celebrities only have power & $$$ because WE give them power and money. Guess that means WE have the power 😉,scrollTriggerFade section UNDEFINED
1386,"Rules for thee......
NOT FOR ME.",scrollTriggerFade section RICH
1387,Seems shadier than just a 3 minutes ride.,scrollTriggerFade section CELEBRITIES
1388,Is sha actually on it or is the plane going for service?,scrollTriggerFade section ROUTINE
1389,Seems like they know something we don’t know about the world. They’re living like there’s no tomorrow,scrollTriggerFade section POLLUTION
1390,this drive takes less than an hour even with traffic,scrollTriggerFade section UNDEFINED
1391,@chloeyy_h not a 3 min flight 😭,scrollTriggerFade section ROUTINE
1392,Why can’t they just get a car there,scrollTriggerFade section EVERYDAY
1393,THE TURTLES MAN,scrollTriggerFade section POLLUTION
1394,we mad people use their planes? wait till you find out abt the people who fly to work,scrollTriggerFade section UNDEFINED
1395,Rich people suck.,scrollTriggerFade section RICH
1396,Rich people are killing the planet but the general public are the ones that need to be doing more🙄,scrollTriggerFade section UNDEFINED
1397,my electric bill is 100 dollars more this month using about the same as last month...,scrollTriggerFade section EVERYDAY
1398,emissions,scrollTriggerFade section POLLUTION
1399,Yep. As a private flight planner let me tell you this is so common. The amount of fuel burn is also $$$,scrollTriggerFade section ROUTINE
1400,Lake Tahoe was full of celebs a week ago,scrollTriggerFade section CELEBRITIES
1401,When are we gonna realize rules are only followed by the non-elite,scrollTriggerFade section RICH
1402,"Yes rich people need to pay a carbon tax, but don’t let that get you thinking that personal responsibility isn’t powerful in numbers.",scrollTriggerFade section UNDEFINED
1403,I no it's pisses everyone off I mean same here but plz guys don't stoop to their level keep doing the right thing and help the world !!!,scrollTriggerFade section POLLUTION
1404,"not defending her, but nowhere in the valley is there a 20 min car ride lol",scrollTriggerFade section UNDEFINED
1405,Celebrities tell you about climate change,scrollTriggerFade section POLLUTION
1406,Idk why we don’t have a limit on airplane flights,scrollTriggerFade section ROUTINE
1407,Why aren’t they just using helicopters?,scrollTriggerFade section CELEBRITIES
1408,It’s Harry Reid airport to North Las Vegas private airport. You’re welcome,scrollTriggerFade section UNDEFINED
1409,Not the turtles 🐢😩,scrollTriggerFade section POLLUTION
1410,Its almost like we gotta stop worshiping celebrities and start expropriating them 😳,scrollTriggerFade section CELEBRITIES
1411,if you think we should model out behaviors off anyone named Jenner ot Kardashian then just stop leaving your house.,scrollTriggerFade section CELEBRITIES
1412,"Well plastic straws harm animals so stick to paper, yes",scrollTriggerFade section EVERYDAY
1413,How are you tracking? I tried using our airport system for our jet and says hers is private 🤔,scrollTriggerFade section ROUTINE
1414,omw to strangle some turtles with plastic straws. theyre blood are on your hands Kylie,scrollTriggerFade section UNDEFINED
1415,these people are subhuman . genuinely not people,scrollTriggerFade section RICH
1416,I went on a date with Floyd’s private pilot. They eating good 😂,scrollTriggerFade section ROUTINE
1417,Rich people are killing the planet and will ruin it before it can be aaved,scrollTriggerFade section UNDEFINED
1418,Exactly even if all the humans recycle it wouldn't be enough. It stars by the Elites and the huge corps,scrollTriggerFade section EVERYDAY
1419,TAX THE RICH!,scrollTriggerFade section RICH
1420,"eat the rich includes people in the entertainment industry, they have their boots on our necks",scrollTriggerFade section UNDEFINED
1421,Wow. Billionaires and multimillionaires should not exist. This is why I don’t care that I take long showers!!!!!,scrollTriggerFade section RICH
1422,I don't think Camarillo is really LA bro,scrollTriggerFade section CELEBRITIES
1423,you can say all of this and people still love Kylie as if she loves them back lmao,scrollTriggerFade section UNDEFINED
1424,Jesus some of them think they’re too good for that 20 minute car ride 🙄 they need to be humbled,scrollTriggerFade section UNDEFINED
1425,"All of these short hops are repositioning for fuel, maintenance, hangar and fuel change. But I agree, no individual should own one of these.",scrollTriggerFade section UNDEFINED
1426,"rules for thee, but not for me! applies to celebrities and politicians 🥰",scrollTriggerFade section UNDEFINED
1427,Tbh I’ll still use a paper straw and my reusable straw but this is still unacceptable,scrollTriggerFade section EVERYDAY
1428,My hot take: Eat the rich!!😘,scrollTriggerFade section RICH
1429,"@kyliejenner what in the entitled hell? If you don’t care about us, think of the world you are leaving your kids!? #bankylie",scrollTriggerFade section UNDEFINED
1430,Everyone crying about the rich but wanting to become rich lolol,scrollTriggerFade section RICH
1431,Nah with the traffic 20 min is like an hour,scrollTriggerFade section EVERYDAY
1432,Blow this up people!!!,scrollTriggerFade section RICH
1433,"owning a plane means you HAVE to fly it(gov laws), most rich people write it off as work trips so they don't really pay to fly at end of the year.",scrollTriggerFade section UNDEFINED
1434,@noctornal_moonlight the rich need to be taxed.,scrollTriggerFade section RICH
1435,La traffic,scrollTriggerFade section EVERYDAY
1436,You’d spend more time on the tarmac than the actual flight. Like at that point they just need to drive their expensive Range Rover and be done with it,scrollTriggerFade section UNDEFINED
1437,"Well it’s not really a 20 min drive in La, it would be a 3 hour drive because of traffic",scrollTriggerFade section UNDEFINED
1438,Theyre trying to avoid the hour+ long traffic still v selfish and really just downright wrong 🙄 we need to humble these celebs,scrollTriggerFade section EVERYDAY
1439,There needs to be better laws for this or something,scrollTriggerFade section RICH
1440,started watching flight radar and honestly thought the same thing about the amounts of planes in the air at all times. absurd. our poor world.,scrollTriggerFade section UNDEFINED
1441,"Yes babe, the wealthy spend money to make their lives easier. Do u think they’re going to live poor if they don’t have to?",scrollTriggerFade section RICH
1442,Rules for thee but not for me,scrollTriggerFade section RICH
1443,Celebs are too good for traffic,scrollTriggerFade section EVERYDAY
1444,Jack Nicholas on a mission fr,scrollTriggerFade section CELEBRITIES
1445,My impact <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<< theirs,scrollTriggerFade section POLLUTION
1446,The turtles😳,scrollTriggerFade section POLLUTION
1447,honestly ppl don't care. We all know people are famous for the attention we give them,scrollTriggerFade section RICH
1448,At least bill gates pays for his co2 emissions to be negated,scrollTriggerFade section POLLUTION
1449,The turtles 🐢,scrollTriggerFade section POLLUTION
1450,As someone who is born n raised in Oxnard & lived in Camarillo... I can see why she would wanna take a jet vs 2.5 hours of bumper to bumper 😂😂😂,scrollTriggerFade section UNDEFINED
1451,the turtles!!!!,scrollTriggerFade section POLLUTION
1452,Tax the rich,scrollTriggerFade section RICH
1453,just buy a jet and fly where ever you want,scrollTriggerFade section ROUTINE
1454,reduce reuse recycle ♻️☺️🍃,scrollTriggerFade section EVERYDAY
1455,time to eat the rich 😈,scrollTriggerFade section RICH
1456,I don’t get why this is an issue. I would do the same thing. I spend most of my adult life in traffic,scrollTriggerFade section EVERYDAY
1457,She saved 2 hours driving a day 😂😂,scrollTriggerFade section UNDEFINED
1458,My girlfriend getting mad at me for not turning off water while brushing my teeth and then there’s this 😂,scrollTriggerFade section EVERYDAY
1459,And Kourtneys been called out for her insane overuse of water. This family is insane,scrollTriggerFade section EVERYDAY
1460,"I know they’re like stop eating meat, stop driving trucks yada yada. And then they take their plane to go the distance of a 10 minute walk",scrollTriggerFade section UNDEFINED
1461,For real like us regular people doing that much pollution while the people w/ money doing what we would do in one lifetime in 10 mins,scrollTriggerFade section UNDEFINED
1462,Idk why but I’m just imagining Kylie flying a plane,scrollTriggerFade section UNDEFINED
1463,@kyliejenner girl why,scrollTriggerFade section CELEBRITIES
1464,And ppl will defend these monsters regardless.,scrollTriggerFade section RICH
1465,Check out their gardens and water use …..it’s crazyyyy,scrollTriggerFade section EVERYDAY
1466,they are repositioning flights… we do them all the time to get the jets at the right airport to transport them,scrollTriggerFade section ROUTINE
1467,"The rich are speeding up human extinction.
Give us a legitimate explanation for this @kyliejenner",scrollTriggerFade section UNDEFINED
1468,CAN THIS BE A LAW PLS,scrollTriggerFade section RICH
1469,“Take the bus! Or walk it’s good for the earth:)” meanwhile millionaires :,scrollTriggerFade section UNDEFINED
1470,The same people that vote democrat. Shocker,scrollTriggerFade section RICH
1471,And nothing will ever be done about it because our millionaire senators like to fly on them too 🥰,scrollTriggerFade section ROUTINE
1472,that’s a 20 minute drive bruh…,scrollTriggerFade section CELEBRITIES
1473,how is that possible? the distance for it to go up and down isn't like 10 miles?,scrollTriggerFade section CELEBRITIES
1474,This is what we mean by eat the rich 🥺,scrollTriggerFade section RICH
1475,@kyliejenner ur killing the planet that stormi baby has to live on,scrollTriggerFade section UNDEFINED
1476,People be like… forgot my chapstick… gotta fly back. 😂,scrollTriggerFade section UNDEFINED
1477,Dude you can do both. You can not use straws and hate the rich.,scrollTriggerFade section UNDEFINED
1478,I feel so strongly about this! 👏 Don’t make me use a paper straw👏 when you fly a private jet 👏🥲,scrollTriggerFade section UNDEFINED
1479,eat the rich!!!,scrollTriggerFade section RICH
1480,"IF U EVER WANNA PROTEST THE RICH, THEY MOSTLY ENTER N EXIT THRU VAN NUYS AND BURBANK",scrollTriggerFade section UNDEFINED
1481,this is why ppl like kendall/beyonce/arianagrande need to be included in your hatred of the ultra wealthy like elon musk,scrollTriggerFade section UNDEFINED
1482,Camarillo not LA,scrollTriggerFade section CELEBRITIES
1483,"I see Jenner's jet at Camarillo Airport all the time, its pretty sick but damn thats wasteful.",scrollTriggerFade section UNDEFINED
1484,Expose the lot of them. Wtf is wrong with these people and then there us middle/lower class people that are being shamed into using,scrollTriggerFade section RICH
1485,@Kylie Jenner seriously?,scrollTriggerFade section CELEBRITIES
1486,Camarillo isn’t LA 🥰it’s Ventura county lol,scrollTriggerFade section CELEBRITIES
1487,And then they’re like “eAT vEgAn” “dO bEtTer” 🤪,scrollTriggerFade section UNDEFINED
1488,I can barely afford to fill my gas tank ( my NISSAN ALTIMA ((car)) FUCK EM,scrollTriggerFade section UNDEFINED
1489,Mother nature will give them their reward for taking care of the environment 😏money doesn’t save you from the karma you deserve,scrollTriggerFade section RICH
1490,"y'all, they get they money from us! that's the crazy part.We paying for this. STOP GIVING THEM YOUR ATTENTION",scrollTriggerFade section RICH
1491,🍽 the rich,scrollTriggerFade section RICH
1492,nobody cares about the turtles,scrollTriggerFade section POLLUTION
1493,💔🐢THE TURTLES🐢💔,scrollTriggerFade section POLLUTION
1494,Lwky I understand Kylie 405 traffic is DIFFERENT 💀,scrollTriggerFade section UNDEFINED
1495,Don’t ever tell me I can’t use a plastic bag or straw when people are out here flying less than 20 minutes on the daily,scrollTriggerFade section UNDEFINED
1496,Eat the rich,scrollTriggerFade section RICH
1497,fake ass people,scrollTriggerFade section RICH
1498,@kyliejenner what’s good?,scrollTriggerFade section CELEBRITIES
1499,but y'all keep buying kardashian products and consume their content 🙄,scrollTriggerFade section CELEBRITIES
1500,"There are much worse things that burning jet fuel produces, than C02. 😅",scrollTriggerFade section ROUTINE
1501,Ok hear me out since we know the schedules we bind together to block traffic to protest these peoples recklessness to save the planet,scrollTriggerFade section UNDEFINED
1502,Bro but if I was rich I would too lmfao @annaloryn,scrollTriggerFade section RICH
1503,honestly for those little short trips across LA to beat traffic an ultralight helicopter powered by a lawn mower engine would work better than a jet.,scrollTriggerFade section EVERYDAY
1504,EAT THE RICH!!,scrollTriggerFade section RICH
1505,@Kylie Jenner wtf?,scrollTriggerFade section CELEBRITIES
1506,Please please please comment guys. We need to expose these CLIMATE CRIMES,scrollTriggerFade section POLLUTION
1507,And we have to throw our food scraps into a separate bin bcuz we can no longer throw them in to the trash. They must be green waste now.,scrollTriggerFade section UNDEFINED
1508,"sure sure money, idc about money
but CO2 capture is a zero sum game, there should be a limit on how much you can waste",scrollTriggerFade section UNDEFINED
1509,All the unnecessary pollution going into the environment. Noice. Who cares right? Whatever ig. 🙃,scrollTriggerFade section POLLUTION
1510,Ummm what does you being conscious of your plastic consumption have to do with fucking anything. Not a good comparison.,scrollTriggerFade section EVERYDAY
1511,I don’t like kylie but lets be realistic it is most likely an empty flight transporting the plane to its hangar or going for scheduled maintenance.,scrollTriggerFade section UNDEFINED
1512,eat the rich,scrollTriggerFade section RICH
1513,"Exactly I am not the problem, we don’t need to worry about having one lightbulb on it’s gigantic corporations and rich people 🙄",scrollTriggerFade section RICH
1514,Avoiding LA traffic,scrollTriggerFade section EVERYDAY
1515,literally is a 45 minute drive. 😳,scrollTriggerFade section CELEBRITIES
1516,Yet Louisiana is now trying to tax any1 who drives a hybrid or electric car cuz they don’t have fuel taxes…we know no $ actually goes to our roads 🤬,scrollTriggerFade section UNDEFINED
1517,Camarillo is not one end of LA 😂,scrollTriggerFade section CELEBRITIES
1518,If I was that rich I would do that too ngl,scrollTriggerFade section RICH
1519,@Hank Green why do I have to use paper straws for real though?,scrollTriggerFade section UNDEFINED
1520,@kyliejenner thoughts?,scrollTriggerFade section CELEBRITIES
1521,Yea imma keep using my straws,scrollTriggerFade section EVERYDAY
1522,with private plans you just get to walk on and take off. no security. it's about like hopping into your car to drive.,scrollTriggerFade section UNDEFINED
1523,Yeah but my 4 cylinder car is the problem..,scrollTriggerFade section EVERYDAY
1524,@kyliejenner,scrollTriggerFade section CELEBRITIES
1525,I'd do it if I was rich...damn sure would 🤷,scrollTriggerFade section RICH
1526,The turtles!!,scrollTriggerFade section POLLUTION
1527,this is why they clearly need to be taxed vastly more. just call it the privet jet tax,scrollTriggerFade section RICH
1528,rich folks are separated from reality,scrollTriggerFade section RICH
1529,Tax. The. Rich.,scrollTriggerFade section RICH
1530,"you know it's communist to tell people how and when they can use their airplanes that they purchased, right?",scrollTriggerFade section UNDEFINED
1531,the turtles😭😞,scrollTriggerFade section POLLUTION
1532,"also, only a fraction of what we recycle gets recycled.",scrollTriggerFade section EVERYDAY
1533,"Those short flights are just the planes going to the home hanger, either to avoid hanger fees elsewhere or to get home base services.",scrollTriggerFade section ROUTINE
1534,In High School I was captain of the ECO club & if I knew then what I knew now I wouldn't even have bothered. It's the rich and massive corporations!,scrollTriggerFade section RICH
1535,20 minute car ride WITH OUT traffic…40 min with traffic,scrollTriggerFade section UNDEFINED
1536,Are you fkin kidding me. Celebs should not be able to have access to this.,scrollTriggerFade section CELEBRITIES
1537,are their helicopters included cuz Ima guess that's even more frequent,scrollTriggerFade section CELEBRITIES
1538,But remember it’s “your fault” global warming is happening because you won’t recicle their garbage packagings due to cost 💲.,scrollTriggerFade section UNDEFINED
1539,I'm an aircraft mechanic I work on privet jets. to be fair alot of times the plane will stay at another airport from where they have maintenance done,scrollTriggerFade section ROUTINE
1540,I have a solution but not many people are gunna like it ..,scrollTriggerFade section RICH
1541,if they're going to be dumping CO2 into the atmosphere we need to start appropriately taxing them and closing loopholes for a start.,scrollTriggerFade section POLLUTION
